"maxO3";"T6";"T9";"T12";"T15";"T18";"Ne6";"Ne9";"Ne12";"Ne15";"Ne18";"Vdir6";"Vvit6";"Vdir9";"Vvit9";"Vdir12";"Vvit12";"Vdir15";"Vvit15";"Vdir18";"Vvit18";"Vx";"maxO3v"
"19960425";84.4;4.5;10.9;12.8;14.8;13.5;3;3;7;2;1;320;1;310;2;340;3;340;5;10;4;-1.0261;81.6
"19960426";85.6;3.7;9.4;15.5;16.8;15.2;9;1;3;3;0;310;1;310;1;40;4;30;4;10;6;2.5712;84.4
"19960427";112.4;7;12;20.3;21.3;17.2;2;6;5;4;7;330;3;20;3;70;5;70;4;10;5;4.6985;85.6
"19960428";100.2;9.1;15;18.7;17.5;14.5;7;5;5;5;2;360;3;360;3;350;7;350;7;360;7;-1.2155;112.4
"19960429";89.6;6.8;12.2;15;15.7;12.9;1;1;4;5;5;10;2;50;4;30;3;340;5;20;6;1.5;100.2
"19960430";74.6;5.6;11.1;15.1;14.8;13.4;6;3;5;6;6;280;1;300;2;250;3;270;2;230;5;-2.8191;89.6
"19960501";81.8;8.3;10.6;10.3;12.8;9.4;7;7;7;7;7;170;6;180;6;170;6;180;8;190;4;1.0419;74.6
"19960502";79;7.9;11.7;13;12.5;11.4;7;7;6;7;7;140;3;150;5;170;7;90;4;90;6;1.2155;81.8
"19960503";65.8;8.1;8.9;9.3;10;8.9;8;8;7;8;8;10;5;10;5;10;6;350;5;10;4;1.0419;79
"19960504";85;7.2;10.9;12.3;12.8;12.6;8;3;5;7;5;80;3;100;4;80;4;60;5;60;3;3.9392;65.8
"19960505";105.6;4.2;11.1;14.6;16.3;15.1;5;1;3;3;1;20;2;80;3;80;5;90;5;80;5;4.924;85
"19960506";79;8.9;7.5;7.9;10.1;10.3;8;8;8;8;7;60;6;50;7;50;7;60;5;60;6;5.3623;105.6
"19960507";71.4;8;9.8;13.6;15.3;14.5;8;7;7;7;7;40;4;40;6;40;6;30;5;40;6;3.8567;79
"19960508";74.8;9.8;9.2;10.4;9.8;10.4;8;8;8;8;8;20;6;20;5;40;8;30;8;30;7;5.1423;71.4
"19960509";84.8;6.4;10.3;12.7;12.7;10.9;2;2;2;3;3;40;5;40;8;30;9;40;9;40;8;4.5;74.8
"19960510";77;4.8;10;11.6;11.3;10.8;1;4;6;7;3;20;3;40;7;30;5;70;6;30;7;2.5;84.8
"19960511";71.6;6;10.4;11.4;11.4;11;7;5;7;7;6;20;3;60;4;30;5;20;6;30;5;2.5;77
"19960512";95.4;7.3;10.6;13.1;12.9;12;7;7;7;7;2;340;3;10;4;20;5;20;6;20;4;1.7101;71.6
"19960513";95.2;3.2;11.6;14.4;15.2;13.4;0;2;6;7;7;0;0;10;3;40;1;20;4;30;4;0.6428;95.4
"19960514";81.2;5.4;13.5;13.1;11.7;11.5;3;3;7;8;7;0;0;70;5;30;7;40;7;40;6;3.5;95.2
"19960515";71;10.3;11.4;13.1;13.7;12.4;8;8;8;8;8;40;6;50;4;30;5;80;6;70;5;2.5;81.2
"19960516";58.6;9.2;9.1;8.3;8.3;8.1;8;8;8;8;8;60;4;80;7;60;5;50;3;10;2;4.3301;71
"19960517";43.2;7.7;8.8;10.1;12.4;10.7;8;8;8;7;8;360;2;40;2;360;2;310;1;20;2;0;58.6
"19960518";72;10;11.7;16.5;16;16.4;9;7;7;6;3;340;2;0;0;120;1;80;2;180;9;0.866;43.2
"19960519";86;6.5;8.4;12.9;14.2;12.6;3;7;6;5;4;190;5;200;4;230;7;230;8;230;6;-5.3623;72
"19960520";82.8;8.7;12.5;13.8;16.3;14.6;7;7;6;3;1;220;1;230;1;320;1;260;6;240;6;-0.6428;86
"19960521";88;8.7;13;14.1;16;14.9;4;5;6;6;5;240;2;280;4;290;6;280;4;20;1;-5.6382;82.8
"19960522";67.2;10;14.2;13.4;12.7;12.6;8;8;8;8;8;160;3;210;9;210;6;210;9;210;7;-3;88
"19960523";50;13.1;14.7;16.7;17.4;15.7;8;8;7;7;7;210;3;230;5;230;6;220;7;230;6;-4.5963;67.2
"19960524";53.6;12.7;14.4;15.8;17.5;13.9;8;7;7;6;8;230;5;230;5;210;8;220;9;210;6;-4;50
"19960525";62.8;12.3;11.7;13.5;14.2;13.6;8;8;8;8;8;260;3;280;1;0;0;310;1;50;1;0;53.6
"19960526";64;12.2;13.3;13.8;14.5;14.5;8;8;8;8;8;210;3;240;4;220;6;220;6;240;5;-3.8567;62.8
"19960527";71.4;12.1;13.6;15.6;16;14.8;7;7;7;7;7;270;5;280;7;310;8;310;7;320;5;-6.1284;64
"19960528";68.4;10.7;13.5;16.7;18.1;18.2;7;8;7;5;1;170;1;150;2;200;3;220;4;240;3;-1.0261;71.4
"19960529";90.6;11.3;15.2;20.7;22.6;23.1;8;2;2;2;1;210;1;240;3;210;2;170;3;270;1;-1;68.4
"19960530";112.6;14.9;22.7;26.4;28.4;25.1;5;6;5;5;7;110;3;160;5;170;7;180;7;220;6;1.2155;90.6
"19960531";60.2;13.9;15.5;17.6;18.6;17;7;7;8;8;7;250;3;270;3;240;2;240;3;230;5;-1.7321;112.6
"19960601";86.8;10.5;13.4;17.1;17.7;15.6;3;7;5;6;6;210;2;260;4;250;4;230;5;260;3;-3.7588;60.2
"19960602";81.2;10.9;13.6;15.5;15.6;15.3;7;7;7;7;5;360;3;360;4;360;5;10;7;20;5;0;86.8
"19960603";90.2;7.7;14.6;18.7;21;19.5;0;1;2;1;2;260;1;270;1;270;2;250;3;250;4;-2;81.2
"19960604";90;13.8;17.9;21.9;24;23.6;7;2;1;1;1;180;1;10;1;150;2;170;1;200;1;1;90.2
"19960605";139;15.7;22.8;26.8;28.2;27.7;1;1;1;1;2;100;2;160;3;130;3;120;3;120;3;2.2981;90
"19960606";139.6;18.5;26.2;30.8;31.8;30;3;4;4;1;0;110;3;160;2;160;2;160;2;160;2;0.684;139
"19960607";130;19.3;27;30.6;31.6;26.1;0;0;0;1;1;160;2;180;3;190;5;190;8;230;4;-0.8682;139.6
"19960608";94.6;13.3;12.6;12.6;12.8;14.1;7;8;8;8;5;330;4;330;4;360;4;350;4;350;1;0;130
"19960609";86.8;9.9;16.9;21.4;23.2;23.1;2;4;3;2;1;80;1;200;2;210;3;240;3;230;3;-1.5;94.6
"19960610";80;15.9;18.7;22.1;24;22.1;6;6;5;6;7;310;1;320;2;360;2;290;3;310;3;0;86.8
"19960611";60;14.2;20.2;23.7;24.8;22.9;0;1;2;1;0;290;1;210;3;220;5;240;5;250;4;-3.2139;80
"19960612";78.2;16;18.4;18.4;20.7;18.9;6;5;7;2;0;360;3;350;5;20;4;360;4;360;5;1.3681;60
"19960613";121;12.5;19.7;22.6;24.3;23.5;0;1;0;0;0;40;2;90;4;60;5;60;6;60;6;4.3301;78.2
"19960614";111.2;14;19.3;23.1;25.3;24.4;1;3;2;1;1;80;4;70;5;60;6;70;6;80;6;5.1962;121
"19960615";129.4;15;21.4;25.3;27.3;26.6;3;5;5;4;3;70;3;100;4;80;7;100;6;100;5;6.8937;111.2
"19960616";126.8;16.5;22.8;27.7;29.1;28;1;1;1;1;1;60;1;90;4;90;6;100;5;100;4;6;129.4
"19960617";125;17;23;27.5;28.6;27.4;1;2;7;3;3;80;1;150;1;50;1;10;2;20;4;0.766;126.8
"19960618";125.8;14.9;22.6;26.9;27.5;26.2;1;1;0;1;1;300;1;350;3;310;3;30;4;10;5;-2.2981;125
"19960619";113.8;16.5;22;27.2;27.7;22.3;2;5;6;7;8;110;3;160;3;200;4;230;6;240;5;-1.3681;125.8
"19960620";64.6;15.9;18.8;21.3;22;19.7;1;5;6;6;6;270;3;280;4;250;5;280;4;20;5;-4.6985;113.8
"19960621";94.8;14.7;17.7;17.2;19.6;18.5;6;6;7;2;1;10;2;20;5;20;7;20;7;360;7;2.3941;64.6
"19960622";98.2;10.5;16.1;18.7;19.1;17.3;0;3;3;5;5;310;3;330;3;320;5;340;5;350;6;-3.2139;94.8
"19960623";113.2;10.5;16.6;19.4;20.9;18.5;0;2;4;4;1;360;1;10;4;30;5;30;5;20;7;2.5;98.2
"19960624";96.4;10.7;18.1;20;20.9;19.1;1;3;6;5;4;300;2;350;5;360;6;360;6;360;6;0;113.2
"19960625";95.6;11.4;18;21.6;22.6;21;7;6;5;5;5;320;2;340;3;10;3;360;5;350;5;0.5209;96.4
"19960626";62.6;12.5;15.1;17.1;20;18.9;8;8;8;7;8;310;1;320;2;300;3;10;5;360;2;-2.5981;95.6
"19960627";41.8;16.1;17.6;20.6;19.7;20;8;8;8;8;7;0;0;340;1;290;1;0;0;150;1;-0.9397;62.6
"19960628";72.6;14.7;19.6;21.7;22.1;21.1;7;6;7;7;7;300;2;270;4;250;5;250;5;250;6;-4.6985;41.8
"19960629";72;14.7;16.3;18.1;19.1;17.4;7;7;7;5;1;300;4;300;7;320;9;330;8;340;7;-5.7851;72.6
"19960630";57.4;13;15.7;18.2;16.7;18.6;7;7;8;8;7;230;3;250;4;260;6;250;4;260;5;-5.9088;72
"19960701";69.6;13.7;16.6;17.7;19.1;18.3;6;7;7;6;6;270;3;280;5;290;5;280;7;290;6;-4.6985;57.4
"19960702";53.2;13.5;16.8;18;19.5;18.9;7;6;7;7;7;260;3;280;4;280;5;270;3;250;4;-4.924;69.6
"19960703";38;14;17.9;18.9;17.6;16.8;8;7;8;8;7;180;6;250;7;220;6;230;6;250;6;-3.8567;53.2
"19960704";65;14.2;17.2;21;21.1;18.6;5;6;6;5;7;260;5;270;6;250;7;250;6;240;5;-6.5778;38
"19960705";49.4;12.8;14.3;18.1;15.2;14.1;8;7;7;7;7;340;4;310;3;300;3;320;1;350;1;-2.5981;65
"19960706";58.2;10;15.1;18.5;13.4;16.3;2;6;7;8;7;250;2;300;5;250;5;300;6;170;2;-4.6985;49.4
"19960707";73.6;10.6;15.1;17.6;17;16.7;7;7;6;5;3;360;2;20;5;360;8;20;7;350;7;0;58.2
"19960708";62;12.1;16.8;19.6;20.6;18.7;3;7;6;4;5;320;4;340;5;340;6;350;6;360;6;-2.0521;73.6
"19960709";56;11.1;17.7;19.2;18.6;17.5;1;5;7;8;8;280;3;280;3;260;5;260;5;260;4;-4.924;62
"19960710";70.8;15.5;18;20.5;21.6;20.9;8;7;5;2;1;330;3;340;5;340;6;360;6;10;6;-2.0521;56
"19960711";73;14.2;15.3;17.4;22.8;21.3;8;8;8;1;1;10;3;340;2;300;2;290;2;20;6;-1.7321;70.8
"19960712";54.8;13;15.4;18.6;22.2;20.9;8;7;7;7;6;300;2;320;5;20;3;330;2;40;4;1.0261;73
"19960713";33.6;17.3;19.1;21;22.1;22.8;7;7;7;7;6;290;2;300;1;310;2;310;2;0;0;-1.5321;54.8
"19960714";57.2;17;18.6;23.1;26.2;24.1;8;7;3;1;2;40;3;30;2;350;2;350;3;20;6;-0.3473;33.6
"19960715";96.4;17.7;19.5;24.4;26.8;27.3;8;7;6;6;4;20;3;30;3;60;4;30;4;70;5;3.4641;57.2
"19960716";105.6;15.4;20.5;24.5;27;26.3;0;0;0;0;1;70;5;70;6;70;7;60;7;70;6;6.5778;96.4
"19960717";114.4;15.3;22;25.9;28.6;28.2;1;0;0;0;0;80;4;80;5;80;5;70;5;60;6;4.924;105.6
"19960718";119.8;15.2;22.7;27.2;29.3;28.4;1;2;2;0;1;40;2;70;2;70;5;70;4;80;4;4.6985;114.4
"19960719";126.2;15.2;22.9;26.9;29.5;29;3;3;2;1;1;90;1;100;3;100;4;80;2;110;3;3.9392;119.8
"19960720";151.4;14.1;24.2;29.2;31;30.3;1;3;1;1;1;0;0;130;2;40;2;180;2;340;1;1.2856;126.2
"19960721";143.2;14.8;24.5;31.3;31.9;30.9;2;2;1;1;0;0;0;160;1;100;2;120;4;130;3;1.9696;151.4
"19960722";134.4;18.2;27.1;32.2;33.8;33.6;0;0;1;1;1;120;3;130;5;130;4;200;5;180;3;3.0642;143.2
"19960723";117.8;16.7;21;25.7;26.4;22.7;1;4;2;5;6;230;2;280;3;280;5;300;5;20;5;-4.924;134.4
"19960724";69;16;19.6;22.1;22.7;20;7;6;5;3;2;290;3;320;5;340;5;350;6;10;6;-1.7101;117.8
"19960725";103.6;12.5;20.7;24.6;26;23.7;1;1;5;3;1;340;1;70;3;110;3;60;4;20;7;2.8191;69
"19960726";127.8;13.5;19.9;25.5;27.8;24.3;3;2;3;3;2;350;2;40;4;50;5;30;5;10;8;3.8302;103.6
"19960727";67.2;16.3;18.8;22.4;23.5;22.2;7;7;6;7;5;10;2;360;5;10;5;340;6;10;6;0.8682;127.8
"19960728";46.2;14.4;19.2;22.7;23.3;23.3;6;4;7;7;6;340;2;350;2;300;3;280;4;250;4;-2.5981;67.2
"19960729";65.6;17.7;19.3;24.2;25.5;22;8;7;6;6;7;210;4;250;3;260;4;270;5;20;3;-3.9392;46.2
"19960730";66.8;17.1;19.4;21;24.3;23.8;8;7;7;5;4;310;3;320;4;280;2;260;4;280;4;-1.9696;65.6
"19960731";56.4;12.6;20.2;21;23.9;22.4;1;7;8;4;7;200;2;280;4;300;5;220;6;260;4;-4.3301;66.8
"19960801";69.2;17;19.5;21.6;22.1;21.4;7;7;5;7;5;330;2;320;4;310;6;310;5;20;4;-4.5963;56.4
"19960802";61.6;13.4;18;19.4;21.5;19.9;4;6;7;7;1;310;2;330;3;340;6;340;5;360;7;-2.0521;69.2
"19960803";104.8;10.3;18.8;22.7;24.4;22.9;1;1;5;3;0;270;1;40;3;40;4;40;4;10;6;2.5712;61.6
"19960804";131;14.5;23.2;26.4;27.7;26.9;0;0;0;2;5;100;2;120;5;110;5;140;5;130;4;4.6985;104.8
"19960805";108.6;14.3;22.7;26.9;24.1;24.1;3;7;7;7;7;0;0;130;2;200;6;190;4;250;5;-2.0521;131
"19960806";77.6;17.4;16.5;21.6;23;20.2;8;4;2;2;1;240;3;280;4;300;5;320;6;340;6;-4.3301;108.6
"19960807";73.6;8.9;17.1;20.4;23;20.4;0;3;3;2;1;0;0;340;3;350;3;330;3;50;6;-0.5209;77.6
"19960808";89.4;9.8;19;24.7;26.8;23.7;3;6;2;6;7;0;0;180;3;210;5;240;4;240;4;-2.5;73.6
"19960809";48;16.9;17.8;18.7;20.7;20.7;8;8;8;7;7;180;4;190;4;190;5;220;5;210;6;-0.8682;89.4
"19960810";63.6;16.8;18.9;20.8;21.4;19.5;8;7;7;6;7;210;6;220;3;230;5;240;5;240;5;-3.8302;48
"19960811";63;14.5;17.8;19.8;21.1;18.6;6;7;6;6;3;220;3;260;7;310;6;310;8;320;9;-4.5963;63.6
"19960812";77;13.2;18;20.2;22.6;20.7;1;5;6;4;1;280;3;330;6;350;5;340;6;10;6;-0.8682;63
"19960813";106.8;14.8;16.9;22.3;24.2;22.3;8;7;4;3;1;310;2;330;3;340;3;20;6;10;5;-1.0261;77
"19960814";106.6;12.4;19.3;23.6;25.2;23;0;0;4;1;0;300;1;340;3;20;4;10;4;30;5;1.3681;106.8
"19960815";106.4;13.5;14.5;20.5;25.4;25.2;9;8;4;1;1;40;1;40;1;60;2;90;2;350;3;1.7321;106.6
"19960816";118.6;13.2;21.8;27.2;28.7;28.4;0;0;2;3;1;170;1;140;1;120;1;90;2;90;2;0.866;106.4
"19960817";134.2;13.5;22.3;29.5;30.6;29.3;0;1;2;1;0;0;0;160;1;170;3;140;3;140;3;0.5209;118.6
"19960818";143;17;25.2;29.6;31.1;29.7;0;0;0;0;0;120;2;150;3;150;4;120;3;110;2;2;134.2
"19960819";131.2;16.1;25;31.6;31.4;24.2;1;0;2;6;7;0;0;140;2;120;3;250;3;20;4;2.5981;143
"19960820";93.6;17.5;18.9;22.2;24.8;20.5;7;7;7;7;4;300;2;330;2;360;1;230;2;30;3;0;131.2
"19960821";64.8;13.9;16.4;21.7;24;20.9;7;6;6;5;4;310;2;330;1;330;4;320;3;20;5;-2;93.6
"19960822";71.8;11.6;19.3;23.1;23.3;20.4;1;1;6;6;7;180;1;200;6;210;7;220;9;210;7;-3.5;64.8
"19960823";60;18.1;17.9;21.4;22.1;19.5;7;3;5;4;6;240;5;280;7;240;7;230;8;240;6;-6.0622;71.8
"19960824";67.2;14;17.6;21.7;20.3;17.4;7;7;7;6;6;230;4;260;5;260;7;270;6;310;3;-6.8937;60
"19960825";79.2;13.4;17.7;20.2;22;19.9;2;4;4;5;5;230;3;260;4;280;4;270;4;260;6;-3.9392;67.2
"19960826";61.2;10.1;16.9;20.3;20.8;17.4;1;2;4;6;7;280;1;280;2;300;3;310;2;330;3;-2.5981;79.2
"19960827";60.4;11.2;15.8;18.3;18.8;16.7;3;5;6;6;4;280;1;330;3;40;6;330;5;310;1;3.8567;61.2
"19960828";87.4;11.6;15.1;17.9;20;17.7;5;7;7;3;1;270;2;290;4;330;4;340;7;340;6;-2;60.4
"19960829";75;12.6;16.1;18.9;19.2;17.3;4;7;7;6;6;290;3;340;6;340;6;340;8;340;6;-2.0521;87.4
"19960830";64.8;11.7;15.9;18.3;18.6;17.7;5;7;6;7;7;320;3;340;3;360;4;360;5;10;3;0;75
"19960831";74.4;11;17.2;20.5;19.3;16.2;3;4;5;5;7;280;1;340;4;360;5;10;6;360;6;0;64.8
"19960901";87.8;8.4;15.5;19.7;21.7;19.4;7;5;5;5;1;290;2;50;2;60;3;70;5;20;5;2.5981;74.4
"19960902";96;8.5;16.4;21.1;22.6;19.1;5;1;2;3;1;270;1;50;2;40;4;70;6;20;6;2.5712;87.8
"19960903";102.8;8.7;17.2;20.7;22.2;21.5;3;2;4;1;0;330;2;50;4;50;5;50;7;70;6;3.8302;96
"19960904";112.6;12.2;18.6;24.7;27.1;24.2;0;0;0;1;0;10;2;50;3;70;6;80;5;30;6;5.6382;102.8
"19960905";99.6;12.8;16.7;22.3;24.8;21.8;4;0;0;0;0;10;3;80;2;10;3;50;4;350;5;0.5209;112.6
"19960906";110.2;9.6;17.7;23.8;25.1;22.5;0;0;0;0;0;290;1;90;1;60;2;60;3;10;4;1.7321;99.6
"19960907";103.8;9.2;17.5;21.8;22.9;21.5;0;0;0;0;0;20;1;100;3;70;5;40;3;50;4;4.6985;110.2
"19960908";96.8;8.6;16.8;19;21;18.5;1;3;6;2;0;0;0;80;7;80;8;60;7;50;8;7.8785;103.8
"19960909";78.8;12.9;16.2;19.1;21.1;18.6;6;4;2;3;1;40;3;40;5;30;6;30;7;40;7;3;96.8
"19960910";57.2;13.1;15.1;17.3;18.8;16.3;7;8;8;6;7;360;2;30;4;30;5;20;6;30;6;2.5;78.8
"19960911";74.4;11.8;15.8;18.7;17.4;16.6;4;7;7;8;6;40;3;70;3;70;5;50;5;20;4;4.6985;57.2
"19960912";67;7;15.3;17.5;17.4;16.9;6;7;7;7;6;290;2;320;4;10;7;340;6;350;6;1.2155;74.4
"19960913";66.8;7.4;14.7;16.9;17.5;15.1;2;2;1;1;1;310;1;30;5;10;6;360;6;20;6;1.0419;67
"19960914";78.8;5.3;14;18.4;19.4;16.7;1;1;5;1;1;310;2;140;1;40;5;50;5;20;6;3.2139;66.8
"19960915";89.6;5.9;14.5;20.7;22.9;20.8;1;0;1;0;0;300;1;170;2;120;4;110;5;110;3;3.4641;78.8
"19960916";94.2;9.7;16.7;20.9;23.2;20.5;1;1;0;0;0;110;2;110;6;120;6;130;6;100;4;5.1962;89.6
"19960917";100;9.8;16.1;21.6;23.9;20.9;2;1;2;2;0;100;3;100;4;90;6;100;5;100;3;6;94.2
"19960918";90.4;10.3;14.5;17.9;20.2;18.8;4;1;6;7;8;100;4;110;5;90;5;110;5;90;6;5;100
"19960919";45.6;10.3;12;14.3;13.8;12.1;2;5;8;7;8;40;6;50;6;40;6;30;6;300;4;3.8567;90.4
"19960920";36.8;11.1;11.1;12.3;15.3;15;8;8;8;6;4;270;3;250;2;150;1;80;3;110;2;0.5;45.6
"19960921";89.2;8.6;11;17.8;18;15.8;5;6;4;5;2;40;2;50;4;70;5;60;6;40;3;4.6985;36.8
"19960922";72.2;12.3;14.1;14;15.2;13.7;8;7;7;7;8;340;3;40;4;360;3;20;6;10;3;0;89.2
"19960923";66.4;9;12.3;18;18.5;16.3;7;7;7;7;7;310;1;0;0;230;2;270;3;250;2;-1.5321;72.2
"19960924";83;5.4;12.1;19.3;19.3;17.5;6;5;5;8;7;0;0;200;1;200;2;260;1;250;3;-0.684;66.4
"19960925";78.6;12.2;13.9;17.5;19.3;16.6;1;6;7;5;1;220;3;240;2;350;3;350;7;20;3;-0.5209;83
"19960926";44.4;10.5;14.1;17;15.1;14.2;8;6;8;8;8;240;2;210;4;220;5;200;5;200;7;-3.2139;78.6
"19960927";62.8;12.9;16.6;19.6;19.1;16.3;2;7;5;3;1;230;3;260;5;290;6;330;7;330;4;-5.6382;44.4
"19960928";64;11.2;12;18.8;19.2;16.4;9;8;6;7;4;240;3;190;2;240;3;240;4;230;4;-2.5981;62.8
"19960929";53.4;13.6;16.9;20.1;18.4;16.7;3;7;8;8;8;230;3;240;5;230;6;230;6;230;6;-4.5963;64
"19960930";60;16.3;16.8;17.4;16.4;14.3;8;8;8;8;8;210;4;210;5;210;6;210;6;350;6;-3;53.4
"19970401";NA;2.4;10.3;17.5;18.9;15.3;1;0;0;0;0;310;2;360;2;360;3;30;4;10;6;0;NA
"19970402";NA;2.5;10.3;17.6;19.2;16.1;0;0;0;0;0;300;2;340;1;320;2;340;3;20;4;-1.2856;NA
"19970403";NA;5.4;11.4;13.4;14.5;11.2;4;7;7;7;5;290;1;340;5;330;5;340;7;340;6;-2.5;NA
"19970404";NA;5.4;9.3;12.3;13.2;11.1;2;4;1;2;1;350;3;20;3;20;5;20;5;350;5;1.7101;NA
"19970405";NA;3.4;11.2;13.2;16.1;11.9;4;7;7;2;1;210;1;300;6;300;5;290;2;350;7;-4.3301;NA
"19970406";NA;8.4;11.3;15.7;18;17;8;8;7;4;2;10;2;30;2;100;4;60;4;80;5;3.9392;NA
"19970407";NA;5.3;10.6;15.2;16.9;15.4;1;2;6;3;3;70;4;100;7;80;8;100;8;100;7;7.8785;NA
"19970408";81.8;4.2;10.5;17;19.9;18.6;1;2;3;1;1;90;3;100;5;120;4;120;3;110;3;3.4641;NA
"19970409";99.4;5.1;13.8;20.7;23.1;21.1;5;5;5;5;4;0;0;180;1;190;2;230;1;140;1;-0.3473;81.8
"19970410";115.8;5.2;14.1;21.6;24.2;20.3;1;0;0;0;0;280;1;360;1;60;3;110;3;20;5;2.5981;99.4
"19970411";127.4;4.3;14.2;19.8;19.5;15.3;1;0;0;0;0;300;2;350;2;20;5;340;8;10;6;1.7101;115.8
"19970412";91.6;4.1;8.5;12.3;13.5;12;3;5;2;1;0;60;6;80;6;70;5;40;6;40;6;4.6985;127.4
"19970413";89;3.1;9;12.9;14.8;12.8;0;1;3;1;0;30;3;90;5;60;6;50;6;20;6;5.1962;91.6
"19970414";90.8;3.5;12.1;16.3;18.1;14.5;0;0;0;0;0;320;1;110;4;90;5;60;5;20;6;5;89
"19970415";96.8;7.8;11.2;16.5;17.2;14;0;0;0;0;0;70;2;60;5;60;6;40;7;40;8;5.1962;90.8
"19970416";84;4.1;9.5;13.1;16.3;15.1;0;0;0;0;0;60;4;90;5;60;6;70;7;90;5;5.1962;96.8
"19970417";89.8;6.2;10.7;14.2;15.7;12.9;0;1;2;2;0;60;5;60;7;70;7;80;7;100;6;6.5778;84
"19970418";108.6;4.7;12.6;15.8;17.8;16.6;0;0;0;0;0;30;3;90;6;100;7;70;5;70;5;6.8937;89.8
"19970419";90;5.3;10.7;12;13.1;10.6;0;1;7;7;8;70;2;70;8;70;5;60;9;50;7;4.6985;108.6
"19970420";103.8;2.8;8;10.9;12.6;11.9;0;1;0;0;0;40;4;80;9;70;9;60;8;60;7;8.4572;90
"19970421";97.8;1.7;9.4;11.8;13;10.3;0;0;0;0;0;40;3;60;3;20;5;10;6;10;7;1.7101;103.8
"19970422";104.2;0;10;13.6;14.4;12.6;0;1;1;5;6;310;1;60;3;80;1;30;3;30;4;0.9848;97.8
"19970423";96;1.7;11.1;15.2;16.4;15.2;1;2;3;4;6;300;1;160;2;300;3;350;2;10;1;-2.5981;104.2
"19970424";82.6;3.8;14.6;17.9;18.9;16.5;0;1;6;5;5;0;0;180;4;200;5;230;6;250;4;-1.7101;96
"19970425";62;8.8;12;12.6;13.8;14.9;8;7;8;8;6;200;1;220;5;220;4;240;5;220;4;-2.5712;82.6
"19970426";65.8;10.8;11.8;16.1;16.8;14.5;7;8;6;7;7;190;3;190;7;240;7;250;7;250;6;-6.0622;62
"19970427";64.4;10;11.8;15.1;17.4;15.9;7;7;7;4;7;270;2;330;3;320;6;300;3;260;6;-3.8567;65.8
"19970428";61.4;13.7;15.9;17;16.5;15.5;7;8;8;8;5;260;4;260;5;300;8;290;8;290;6;-6.9282;64.4
"19970429";70;11.2;13.7;15.8;16.7;14.8;7;7;7;6;2;300;4;320;7;330;7;330;7;340;6;-3.5;61.4
"19970430";86.4;7.2;13.8;19.5;20.3;18.3;9;1;3;2;3;310;2;120;2;90;3;40;3;40;4;3;70
"19970501";NA;9.4;17;20.8;22.8;21.4;0;1;1;1;0;100;2;130;4;130;6;110;6;90;5;4.5963;86.4
"19970502";NA;11.1;19.4;24;25.8;24.7;0;0;0;0;0;70;1;130;6;110;6;120;6;130;3;5.6382;NA
"19970503";NA;11.8;17.6;20.8;22.9;20;7;7;6;5;7;0;0;310;3;280;3;260;5;270;3;-2.9544;NA
"19970504";NA;14.9;15.7;15.6;19.8;16.4;7;8;8;5;7;210;5;210;7;220;6;250;7;220;6;-3.8567;NA
"19970505";NA;12.1;14.4;13.8;14.7;14.8;8;5;8;7;7;250;5;230;6;210;7;230;9;240;6;-3.5;NA
"19970506";NA;7.4;7.3;9;9.9;7.6;8;7;7;6;6;340;12;350;10;340;8;330;8;340;8;-2.7362;NA
"19970507";NA;3.3;7.5;10.1;6.5;9.5;6;4;6;7;3;330;1;350;5;10;5;340;9;340;6;0.8682;NA
"19970508";NA;7.5;11.4;13.4;14.6;12.6;7;7;7;7;6;240;4;270;6;240;6;240;8;250;6;-5.1962;NA
"19970509";NA;8.1;12.3;14.9;14.8;13.3;2;6;6;7;5;260;4;290;7;290;6;270;7;260;4;-5.6382;NA
"19970510";NA;10.3;13.9;13.6;15.1;11.1;7;8;8;8;8;190;6;210;8;230;10;240;10;250;4;-7.6604;NA
"19970511";NA;10.3;14.4;16.1;14.7;12.8;3;5;6;5;3;200;5;240;6;220;9;240;8;210;7;-5.7851;NA
"19970512";NA;8.4;11.8;15.8;17.2;15.5;2;4;5;3;1;200;4;250;4;240;6;230;6;240;5;-5.1962;NA
"19970513";NA;7.8;14.7;17.8;18.8;17.6;2;5;5;5;7;140;1;210;4;230;3;200;3;260;3;-2.2981;NA
"19970514";NA;7.6;15.4;19.3;19.6;19.3;1;1;4;3;3;320;1;20;1;130;2;170;2;360;1;1.5321;NA
"19970515";NA;12.3;16.9;19.7;19.5;18.7;7;5;7;7;6;90;3;100;5;100;4;100;4;130;3;3.9392;NA
"19970516";NA;13.7;15.2;18.6;20.7;20.5;8;8;8;6;6;50;1;320;2;300;5;50;2;100;2;-4.3301;NA
"19970517";NA;14.1;16.9;19.8;15.8;16.9;7;8;6;8;4;110;1;270;2;210;4;180;5;180;1;-2;NA
"19970518";NA;13;13.5;18.3;21.2;20.8;8;8;6;2;7;200;1;260;2;230;3;190;5;150;4;-2.2981;NA
"19970519";NA;14.7;16.1;19.3;18.2;16.8;8;7;5;6;5;150;4;190;5;230;7;240;8;220;5;-5.3623;NA
"19970520";NA;12.4;14;13.6;16.9;14.9;7;7;8;7;7;220;4;220;6;260;5;250;6;250;7;-4.924;NA
"19970521";NA;12.1;15.3;17.4;16.2;15;7;7;7;6;7;280;5;290;6;280;5;320;5;280;2;-4.924;NA
